name,birth_year,death_year,dynasty,description,importance,image_url
禹,-2123,-2025,夏朝,传说中的夏朝建立者，治水英雄，禹传位于子启开创了中国历史上第一个世袭制王朝,5,yu.jpg
启,-2044,-2006,夏朝,夏朝第二任君主，禹的儿子，是中国历史上第一个实行世袭制的君主,4,qi.jpg
桀,-1728,-1675,夏朝,夏朝最后一个君主，暴虐无道，最终被商汤推翻,3,jie.jpg
汤,-1675,-1646,商朝,商朝的建立者，推翻了夏朝最后一个君主夏桀,5,tang.jpg
盘庚,-1300,-1251,商朝,商朝中期著名君主，迁都于殷（今河南安阳），使商朝走向强盛,4,pangeng.jpg
商纣王,-1075,-1046,商朝,商朝最后一个君主，暴虐无道，被周武王推翻,4,zhou.jpg
周文王,-1152,-1056,周朝,周朝的奠基人，姬姓，名昌，被尊为"文王",5,wenwang.jpg
周武王,-1087,-1043,周朝,周朝的建立者，姬发，推翻商纣王建立周朝,5,wuwang.jpg
周公旦,-1100,-1015,周朝,周武王之弟，周朝初期著名政治家，制礼作乐，辅佐成王治国,5,zhougongdan.jpg
嬴政（秦始皇）,-259,-210,秦朝,中国历史上第一个称皇帝的君主，完成统一六国大业，建立中央集权制度,5,qin_shihuang.jpg
刘邦（汉高祖）,-256,-195,西汉,西汉开国皇帝，楚汉之争中战胜项羽,5,liu_bang.jpg
项羽,-232,-202,秦朝末年,西楚霸王，与刘邦争夺天下最终失败,4,xiang_yu.jpg
吕雉（吕后）,-241,-180,西汉,中国历史上第一位掌权的女性统治者,3,lv_zhi.jpg
汉武帝（刘彻）,-156,-87,西汉,西汉最著名的皇帝之一，开创了汉朝的盛世,5,han_wudi.jpg
王莽,-45,23,新朝,西汉外戚，篡位建立新朝,4,wang_mang.jpg
光武帝（刘秀）,-5,57,东汉,东汉开国皇帝，恢复汉朝统治,5,liu_xiu.jpg
张衡,78,139,东汉,东汉著名科学家，发明地动仪,4,zhang_heng.jpg
蔡伦,63,121,东汉,改进造纸术的东汉宦官,4,cai_lun.jpg
